68	1	1
317	1	1
318	1	1
355	1	1
155	2	1
4	3	1
8	3	1
12	3	1
27	3	1
28	3	1
32	3	1
42	3	1
59	3	1
65	3	1
80	3	1
104	3	1
155	3	1
171	3	1
172	3	1
215	3	1
244	3	1
259	3	1
282	3	1
288	3	1
292	3	1
306	3	1
308	3	1
409	3	1
412	3	1
415	3	1
416	3	1
418	3	1
438	3	1
6	4	1
8	4	1
17	4	1
18	4	1
25	4	1
32	4	1
41	4	1
44	4	1
80	4	1
81	4	1
88	4	1
104	4	1
111	4	1
126	4	1
139	4	1
141	4	1
152	4	1
154	4	1
200	4	1
231	4	1
258	4	1
282	4	1
293	4	1
301	4	1
309	4	1
310	4	1
366	4	1
412	4	1
463	4	1
473	4	1
6	5	1
495	5	1
4	6	1
8	6	1
32	6	1
33	6	1
44	6	1
77	6	1
80	6	1
88	6	1
137	6	1
255	6	1
320	6	1
321	6	1
448	6	1
520	6	1
552	6	1
566	6	1
6	7	1
113	7	1
6	8	1
12	8	1
41	8	1
60	8	1
69	8	1
75	8	1
76	8	1
77	8	1
88	8	1
123	8	1
193	8	1
259	8	1
271	8	1
293	8	1
361	8	1
8	10	1
75	10	1
121	10	1
513	10	1
33	11	1
58	11	1
61	11	1
76	11	1
139	11	1
155	11	1
202	11	1
212	11	1
244	11	1
248	11	1
294	11	1
458	11	1
523	11	1
581	11	1
3	12	1
6	12	1
8	12	1
10	12	1
11	12	1
32	12	1
33	12	1
41	12	1
69	12	1
77	12	1
88	12	1
104	12	1
111	12	1
112	12	1
114	12	1
122	12	1
124	12	1
138	12	1
171	12	1
172	12	1
207	12	1
215	12	1
224	12	1
229	12	1
255	12	1
259	12	1
261	12	1
285	12	1
288	12	1
293	12	1
315	12	1
355	12	1
357	12	1
361	12	1
373	12	1
448	12	1
513	12	1
791	12	1
76	13	1
147	13	1
171	13	1
247	13	1
259	13	1
298	13	1
412	13	1
581	13	1
32	14	1
60	14	1
76	14	1
126	14	1
207	14	1
248	14	1
258	14	1
351	14	1
635	14	1
